,x_i,sum1,sum2
0,5.0,3.634588310031118,3.634588310031118
1,5.05,3.665559257575385,3.665559257575385
2,5.1,3.696341416841141,3.696341416841141
3,5.149999999999999,3.726938893052243,3.726938893052243
4,5.199999999999999,3.757355650375323,3.757355650375323
5,5.249999999999999,3.787595518446863,3.787595518446864
6,5.299999999999999,3.817662198523486,3.817662198523485
7,5.349999999999999,3.84755926928137,3.84755926928137
8,5.399999999999999,3.877290192288689,3.87729019228869
9,5.449999999999998,3.906858317173032,3.906858317173032
10,5.499999999999998,3.936266886504092,3.936266886504092
11,5.549999999999998,3.965519040410366,3.965519040410366
12,5.599999999999998,3.994617820947111,3.994617820947112
13,5.649999999999998,4.0235661762316,4.023566176231599
14,5.699999999999998,4.052366964360431,4.05236696436043
15,5.749999999999997,4.08102295712265,4.081022957122649
16,5.799999999999997,4.109536843521356,4.109536843521355
17,5.849999999999997,4.137911233115609,4.13791123311561
18,5.899999999999997,4.166148659193597,4.166148659193599
19,5.949999999999997,4.194251581787219,4.194251581787219
20,5.999999999999996,4.222222390537567,4.222222390537567
21,6.049999999999996,4.250063407420144,4.250063407420143
22,6.099999999999996,4.277776889337983,4.277776889337983
23,6.149999999999996,4.305365030590345,4.305365030590343
24,6.199999999999996,4.332829965224129,4.332829965224128
25,6.249999999999996,4.360173769274677,4.360173769274676
26,6.299999999999995,4.387398462902146,4.387398462902146
27,6.349999999999995,4.414506012429333,4.414506012429334
28,6.399999999999995,4.441498332286351,4.441498332286349
29,6.449999999999995,4.468377286867237,4.468377286867236
30,6.499999999999995,4.495144692303331,4.49514469230333
31,6.549999999999994,4.521802318157813,4.521802318157813
32,6.599999999999994,4.548351889045649,4.548351889045646
33,6.649999999999994,4.574795086182827,4.57479508618283
34,6.699999999999994,4.601133548868672,4.601133548868674
35,6.749999999999994,4.627368875904559,4.62736887590456
36,6.799999999999994,4.65350262695243,4.653502626952429
37,6.849999999999993,4.679536323836083,4.679536323836083
38,6.899999999999993,4.705471451788186,4.705471451788187
39,6.949999999999993,4.731309460645665,4.731309460645666
40,6.999999999999993,4.75705176599607,4.75705176599607
41,7.049999999999993,4.782699750277319,4.782699750277318
42,7.099999999999993,4.80825476383309,4.808254763833091
43,7.149999999999992,4.833718125926006,4.833718125926007
44,7.199999999999992,4.859091125710628,4.859091125710627
45,7.249999999999992,4.884375023168176,4.884375023168175
46,7.299999999999992,4.909571050004796,4.909571050004796
47,7.349999999999992,4.934680410515052,4.934680410515052
48,7.399999999999991,4.959704282412264,4.959704282412265
49,7.449999999999991,4.984643817627244,4.984643817627246
50,7.499999999999991,5.009500143076838,5.009500143076838
51,7.549999999999991,5.034274361403658,5.034274361403657
52,7.599999999999991,5.058967551688314,5.058967551688315
53,7.649999999999991,5.083580770135352,5.083580770135354
54,7.69999999999999,5.108115050734066,5.108115050734067
55,7.74999999999999,5.132571405895296,5.132571405895296
56,7.79999999999999,5.156950827065265,5.156950827065267
57,7.84999999999999,5.181254285317429,5.181254285317429
58,7.89999999999999,5.2054827319233,5.205482731923301
59,7.94999999999999,5.229637098903147,5.229637098903147
60,7.999999999999989,5.253718299557391,5.253718299557392
61,8.04999999999999,5.277727228979574,5.277727228979574
62,8.09999999999999,5.301664764551564,5.301664764551562
63,8.149999999999991,5.325531766421864,5.325531766421864
64,8.199999999999992,5.349329077967613,5.349329077967615
65,8.249999999999993,5.373057526240993,5.373057526240991
66,8.299999999999994,5.396717922400661,5.396717922400661
67,8.349999999999994,5.420311062128838,5.420311062128835
68,8.399999999999995,5.443837726034575,5.443837726034573
69,8.449999999999996,5.4672986800438,5.467298680043799
70,8.499999999999996,5.490694675776633,5.490694675776632
71,8.549999999999997,5.514026450912483,5.514026450912483
72,8.599999999999998,5.537294729543397,5.537294729543398
73,8.649999999999999,5.560500222516125,5.560500222516122
74,8.7,5.583643627763293,5.583643627763292
75,8.75,5.606725630624206,5.606725630624205
76,8.8,5.629746904155517,5.629746904155517
77,8.850000000000001,5.652708109432286,5.652708109432286
78,8.900000000000002,5.675609895839712,5.675609895839713
79,8.950000000000003,5.698452901355907,5.698452901355909
80,9.000000000000004,5.721237752826029,5.721237752826028
81,9.050000000000004,5.743965066228122,5.743965066228121
82,9.100000000000005,5.766635446930932,5.76663544693093
83,9.150000000000006,5.789249489944009,5.789249489944009
84,9.200000000000006,5.811807780160363,5.811807780160365
85,9.250000000000007,5.834310892591957,5.834310892591954
86,9.300000000000008,5.856759392598255,5.856759392598253
87,9.350000000000009,5.879153836108125,5.879153836108125
88,9.40000000000001,5.901494769835295,5.901494769835296
89,9.45000000000001,5.923782731487571,5.92378273148757
90,9.50000000000001,5.946018249970076,5.946018249970075
91,9.550000000000011,5.968201845582706,5.968201845582705
92,9.600000000000012,5.990334030211962,5.990334030211963
93,9.650000000000013,6.012415307517408,6.012415307517407
94,9.700000000000014,6.034446173112888,6.034446173112888
95,9.750000000000014,6.056427114742724,6.056427114742723
96,9.800000000000015,6.078358612453008,6.078358612453007
97,9.850000000000016,6.100241138758207,6.100241138758207
98,9.900000000000016,6.122075158803211,6.122075158803211
99,9.950000000000017,6.143861130520946,6.143861130520947
